num_of_intervals,total_time,drift_parameter,taylor_truncate_len,init_seed,target_state_seed,final_cost
8.0,3.0,1.0,20.0,0.0,0.0,-0.31334070581754736
8.0,3.0,1.0,20.0,1.0,0.0,-0.34504257688914164
8.0,3.0,1.0,20.0,2.0,0.0,-0.3219695772796136
8.0,3.0,1.0,20.0,3.0,0.0,-0.4531704043936732
8.0,3.0,1.0,20.0,4.0,0.0,-0.510074010038499
8.0,3.0,1.0,20.0,5.0,0.0,-0.5335885553422508
8.0,3.0,1.0,20.0,6.0,0.0,-0.42096879274167454
8.0,3.0,1.0,20.0,7.0,0.0,-0.45125620363177965
8.0,3.0,1.0,20.0,8.0,0.0,-0.27320230632143405
8.0,3.0,1.0,20.0,9.0,0.0,-0.4723971232674892
8.0,3.0,1.0,20.0,0.0,1.0,-0.43501801344161667
8.0,3.0,1.0,20.0,1.0,1.0,-0.5267009938110507
8.0,3.0,1.0,20.0,2.0,1.0,-0.41754349844265815
8.0,3.0,1.0,20.0,3.0,1.0,-0.09805961591875807
8.0,3.0,1.0,20.0,4.0,1.0,-0.5060609770484628
8.0,3.0,1.0,20.0,5.0,1.0,-0.543319601285322
8.0,3.0,1.0,20.0,6.0,1.0,-0.5359643153753114
8.0,3.0,1.0,20.0,7.0,1.0,-0.718510010670385
8.0,3.0,1.0,20.0,8.0,1.0,-0.4566795454952666
8.0,3.0,1.0,20.0,9.0,1.0,-0.45055829222881133
8.0,3.0,1.0,20.0,0.0,2.0,-0.32840380816233306
8.0,3.0,1.0,20.0,1.0,2.0,-0.5374420986188095
8.0,3.0,1.0,20.0,2.0,2.0,-0.7057014855915053
8.0,3.0,1.0,20.0,3.0,2.0,-0.4242448050541288
8.0,3.0,1.0,20.0,4.0,2.0,-0.4117995862326244
8.0,3.0,1.0,20.0,5.0,2.0,-0.5511489570330772
8.0,3.0,1.0,20.0,6.0,2.0,-0.4519460163466829
8.0,3.0,1.0,20.0,7.0,2.0,-0.5359513887625076
8.0,3.0,1.0,20.0,8.0,2.0,-0.24036356240211576
8.0,3.0,1.0,20.0,9.0,2.0,-0.4351958141396248
8.0,3.0,1.0,20.0,0.0,3.0,-0.41818249850116573
8.0,3.0,1.0,20.0,1.0,3.0,-0.5840913013684185
8.0,3.0,1.0,20.0,2.0,3.0,-0.5963373384936369
8.0,3.0,1.0,20.0,3.0,3.0,-0.5963373380371422
8.0,3.0,1.0,20.0,4.0,3.0,-0.5352738062219353
8.0,3.0,1.0,20.0,5.0,3.0,-0.42817492912881694
8.0,3.0,1.0,20.0,6.0,3.0,-0.5505806006518048
8.0,3.0,1.0,20.0,7.0,3.0,-0.48036837410112476
8.0,3.0,1.0,20.0,8.0,3.0,-0.45140470310621034
8.0,3.0,1.0,20.0,9.0,3.0,-0.5397418217743069
8.0,3.0,1.0,20.0,0.0,4.0,-0.4224876101488024
8.0,3.0,1.0,20.0,1.0,4.0,-0.4203021846393518
8.0,3.0,1.0,20.0,2.0,4.0,-0.6188559144414679
8.0,3.0,1.0,20.0,3.0,4.0,-0.7205744621097717
8.0,3.0,1.0,20.0,4.0,4.0,-0.22886759515234376
8.0,3.0,1.0,20.0,5.0,4.0,-0.7266355629463335
8.0,3.0,1.0,20.0,6.0,4.0,-0.726847800551263
8.0,3.0,1.0,20.0,7.0,4.0,-0.3913661820693338
8.0,3.0,1.0,20.0,8.0,4.0,-0.5469414944189104
8.0,3.0,1.0,20.0,9.0,4.0,-0.4399582460244138
8.0,3.0,1.0,20.0,0.0,5.0,-0.7099548779007496
8.0,3.0,1.0,20.0,1.0,5.0,-0.6426041644148568
8.0,3.0,1.0,20.0,2.0,5.0,-0.5964056907236255
8.0,3.0,1.0,20.0,3.0,5.0,-0.5134551671065258
8.0,3.0,1.0,20.0,4.0,5.0,-0.6141762180741903
8.0,3.0,1.0,20.0,5.0,5.0,-0.34510317490923925
8.0,3.0,1.0,20.0,6.0,5.0,-0.2228761372536302
8.0,3.0,1.0,20.0,7.0,5.0,-0.529157047091882
8.0,3.0,1.0,20.0,8.0,5.0,-0.6879255007034207
8.0,3.0,1.0,20.0,9.0,5.0,-0.6948148821620129
8.0,3.0,1.0,20.0,0.0,6.0,-0.47676524193192005
8.0,3.0,1.0,20.0,1.0,6.0,-0.7235707170076697
8.0,3.0,1.0,20.0,2.0,6.0,-0.4037216556326725
8.0,3.0,1.0,20.0,3.0,6.0,-0.723189215291368
8.0,3.0,1.0,20.0,4.0,6.0,-0.5728695220539116
8.0,3.0,1.0,20.0,5.0,6.0,-0.654978312670339
8.0,3.0,1.0,20.0,6.0,6.0,-0.4886184016094617
8.0,3.0,1.0,20.0,7.0,6.0,-0.5810634609164086
8.0,3.0,1.0,20.0,8.0,6.0,-0.5372210941536042
8.0,3.0,1.0,20.0,9.0,6.0,-0.5679204063833114
8.0,3.0,1.0,20.0,0.0,7.0,-0.41924640717853556
8.0,3.0,1.0,20.0,1.0,7.0,-0.6575634991461922
8.0,3.0,1.0,20.0,2.0,7.0,-0.6571976207213398
8.0,3.0,1.0,20.0,3.0,7.0,-0.7651057963107283
8.0,3.0,1.0,20.0,4.0,7.0,-0.49889289201827886
8.0,3.0,1.0,20.0,5.0,7.0,-0.3819526221687054
8.0,3.0,1.0,20.0,6.0,7.0,-0.7478224653380232
8.0,3.0,1.0,20.0,7.0,7.0,-0.44864814385931634
8.0,3.0,1.0,20.0,8.0,7.0,-0.5763435569391242
8.0,3.0,1.0,20.0,9.0,7.0,-0.7095854107921871
8.0,3.0,1.0,20.0,0.0,8.0,-0.7653771393296774
8.0,3.0,1.0,20.0,1.0,8.0,-0.28381730056251925
8.0,3.0,1.0,20.0,2.0,8.0,-0.5887054580212285
8.0,3.0,1.0,20.0,3.0,8.0,-0.5887460590522742
