num_of_intervals,total_time,drift_parameter,taylor_truncate_len,avg_infidelity
8.0,3.0,1.0,20.0,0.414309641815479
8.0,4.0,1.0,20.0,0.2925201739183867
8.0,5.0,1.0,20.0,0.24211295123506305
8.0,6.0,1.0,20.0,0.16827612848698403
8.0,7.0,1.0,20.0,0.12339423968648722
8.0,8.0,1.0,20.0,0.19092945381608895
8.0,9.0,1.0,20.0,0.15549436451710874
8.0,10.0,1.0,20.0,0.1594530509702402
9.0,3.0,1.0,20.0,0.41958561682434725
9.0,4.0,1.0,20.0,0.28517360924096535
9.0,5.0,1.0,20.0,0.17419127712239368
9.0,6.0,1.0,20.0,0.11474674717574396
9.0,7.0,1.0,20.0,0.11998101054519705
9.0,8.0,1.0,20.0,0.09480521777232442
9.0,9.0,1.0,20.0,0.1383687568960157
9.0,10.0,1.0,20.0,0.09393076142362367
10.0,3.0,1.0,20.0,0.42025683536718916
10.0,4.0,1.0,20.0,0.2692021871251741
10.0,5.0,1.0,20.0,0.16098542959987383
10.0,6.0,1.0,20.0,0.09920729688710783
10.0,7.0,1.0,20.0,0.0841267782876235
10.0,8.0,1.0,20.0,0.07282857068201931
10.0,9.0,1.0,20.0,0.07462511599512689
10.0,10.0,1.0,20.0,0.047805828963447206
11.0,3.0,1.0,20.0,0.3871923867777258
11.0,4.0,1.0,20.0,0.27510376847820694
11.0,5.0,1.0,20.0,0.16728427508600086
11.0,6.0,1.0,20.0,0.10799539744199471
11.0,7.0,1.0,20.0,0.06816549440404951
11.0,8.0,1.0,20.0,0.04944272426528207
11.0,9.0,1.0,20.0,0.0381281309322683
11.0,10.0,1.0,20.0,0.03737030976325939
12.0,3.0,1.0,20.0,0.38759033378220786
12.0,4.0,1.0,20.0,0.2508932771160327
12.0,5.0,1.0,20.0,0.1612390598904344
12.0,6.0,1.0,20.0,0.07414734748842933
12.0,7.0,1.0,20.0,0.05762575028339967
12.0,8.0,1.0,20.0,0.04332180257600038
12.0,9.0,1.0,20.0,0.02500793495309117
12.0,10.0,1.0,20.0,0.019008003943575935
13.0,3.0,1.0,20.0,0.38671081242424354
13.0,4.0,1.0,20.0,0.25214455294441207
13.0,5.0,1.0,20.0,0.15566591956134013
13.0,6.0,1.0,20.0,0.06699285792389476
13.0,7.0,1.0,20.0,0.0335737681306455
13.0,8.0,1.0,20.0,0.02244573559658869
13.0,9.0,1.0,20.0,0.013655704153672454
13.0,10.0,1.0,20.0,0.010564627354209377
14.0,3.0,1.0,20.0,0.3983068136032457
14.0,4.0,1.0,20.0,0.2542670550796049
14.0,5.0,1.0,20.0,0.13608772426026228
14.0,6.0,1.0,20.0,0.04505551959983012
14.0,7.0,1.0,20.0,0.02556737397079445
14.0,8.0,1.0,20.0,0.013963061996890458
14.0,9.0,1.0,20.0,0.005854000345087096
14.0,10.0,1.0,20.0,0.004785120442252433
15.0,3.0,1.0,20.0,0.38144492347825953
15.0,4.0,1.0,20.0,0.2526023255182178
15.0,5.0,1.0,20.0,0.13772988105559436
15.0,6.0,1.0,20.0,0.04065468885289858
15.0,7.0,1.0,20.0,0.013774515763432027
15.0,8.0,1.0,20.0,0.008092213159808237
15.0,9.0,1.0,20.0,0.004227641360576739
15.0,10.0,1.0,20.0,0.0007788778617212611
