num_of_intervals,total_time,drift_parameter,taylor_truncate_len,init_seed,target_state_seed,final_cost
10.0,1.0,1.0,2.0,0.0,0.0,-0.29164319872087174
10.0,1.0,1.0,2.0,1.0,0.0,-0.3123618500854452
10.0,1.0,1.0,2.0,2.0,0.0,-0.38363382675195684
10.0,1.0,1.0,2.0,3.0,0.0,-0.3835216587273641
10.0,1.0,1.0,2.0,4.0,0.0,-0.28261818116819903
10.0,1.0,1.0,2.0,5.0,0.0,-0.32298768009503787
10.0,1.0,1.0,2.0,6.0,0.0,-0.3772896451408077
10.0,1.0,1.0,2.0,7.0,0.0,-0.250935955970318
10.0,1.0,1.0,2.0,8.0,0.0,-0.31710971629084184
10.0,1.0,1.0,2.0,9.0,0.0,-0.2226024326604878
10.0,1.0,1.0,2.0,0.0,1.0,-0.9237845810326096
10.0,1.0,1.0,2.0,1.0,1.0,-0.926990572902264
10.0,1.0,1.0,2.0,2.0,1.0,-0.9189296990105859
10.0,1.0,1.0,2.0,3.0,1.0,-0.918222970028167
10.0,1.0,1.0,2.0,4.0,1.0,-0.9296805397911672
10.0,1.0,1.0,2.0,5.0,1.0,-0.9270183497848957
10.0,1.0,1.0,2.0,6.0,1.0,-0.9243381986034052
10.0,1.0,1.0,2.0,7.0,1.0,-0.9285523199424006
10.0,1.0,1.0,2.0,8.0,1.0,-0.9234825747957845
10.0,1.0,1.0,2.0,9.0,1.0,-0.928783992876822
10.0,1.0,1.0,2.0,0.0,2.0,-0.7783409147871923
10.0,1.0,1.0,2.0,1.0,2.0,-0.8119006832122316
10.0,1.0,1.0,2.0,2.0,2.0,-0.8148670302007888
10.0,1.0,1.0,2.0,3.0,2.0,-0.8166265601370691
10.0,1.0,1.0,2.0,4.0,2.0,-0.8044581548880956
10.0,1.0,1.0,2.0,5.0,2.0,-0.8150383372172856
10.0,1.0,1.0,2.0,6.0,2.0,-0.816475040644345
10.0,1.0,1.0,2.0,7.0,2.0,-0.7864054493176346
10.0,1.0,1.0,2.0,8.0,2.0,-0.8100085406257282
10.0,1.0,1.0,2.0,9.0,2.0,-0.7834330183587072
10.0,1.0,1.0,2.0,0.0,3.0,-0.8270683900236355
10.0,1.0,1.0,2.0,1.0,3.0,-0.8642305428402849
10.0,1.0,1.0,2.0,2.0,3.0,-0.9315896144476546
10.0,1.0,1.0,2.0,3.0,3.0,-0.9315676565168848
10.0,1.0,1.0,2.0,4.0,3.0,-0.8086930793432141
10.0,1.0,1.0,2.0,5.0,3.0,-0.8621709491536186
10.0,1.0,1.0,2.0,6.0,3.0,-0.9267184106757208
10.0,1.0,1.0,2.0,7.0,3.0,-0.7408495171127486
10.0,1.0,1.0,2.0,8.0,3.0,-0.8706974818184414
10.0,1.0,1.0,2.0,9.0,3.0,-0.7483243610455559
10.0,1.0,1.0,2.0,0.0,4.0,-0.6514500840057971
10.0,1.0,1.0,2.0,1.0,4.0,-0.6612904550469314
10.0,1.0,1.0,2.0,2.0,4.0,-0.6566752920573788
10.0,1.0,1.0,2.0,3.0,4.0,-0.6593364831706567
10.0,1.0,1.0,2.0,4.0,4.0,-0.6565862810922892
10.0,1.0,1.0,2.0,5.0,4.0,-0.6596840308093921
10.0,1.0,1.0,2.0,6.0,4.0,-0.6548089047898126
10.0,1.0,1.0,2.0,7.0,4.0,-0.6546637104356324
10.0,1.0,1.0,2.0,8.0,4.0,-0.6635697526268965
10.0,1.0,1.0,2.0,9.0,4.0,-0.6547815826328317
10.0,1.0,1.0,2.0,0.0,5.0,-0.6273568318234937
10.0,1.0,1.0,2.0,1.0,5.0,-0.7585390726667546
10.0,1.0,1.0,2.0,2.0,5.0,-0.7492794151817191
10.0,1.0,1.0,2.0,3.0,5.0,-0.6754811616772527
10.0,1.0,1.0,2.0,4.0,5.0,-0.6559781970991443
10.0,1.0,1.0,2.0,5.0,5.0,-0.589607922544776
10.0,1.0,1.0,2.0,6.0,5.0,-0.7580096783793109
10.0,1.0,1.0,2.0,7.0,5.0,-0.7442848442075927
10.0,1.0,1.0,2.0,8.0,5.0,-0.7538564292510637
10.0,1.0,1.0,2.0,9.0,5.0,-0.7538524789261589
10.0,1.0,1.0,2.0,0.0,6.0,-0.3505477627233234
10.0,1.0,1.0,2.0,1.0,6.0,-0.36320482327699344
10.0,1.0,1.0,2.0,2.0,6.0,-0.36314158747659375
10.0,1.0,1.0,2.0,3.0,6.0,-0.3450901245736509
