num_of_intervals,total_time,drift_parameter,taylor_truncate_len,avg_infidelity
10.0,1.0,1.0,2.0,0.31980674606361004
10.0,1.0,1.0,4.0,0.3174112792314048
10.0,1.0,1.0,6.0,0.31742026436471193
10.0,1.0,1.0,8.0,0.31742026436404225
10.0,1.0,1.0,10.0,0.31742026436404225
10.0,1.0,1.0,12.0,0.31742026436404236
10.0,1.0,1.0,14.0,0.31742026436404236
10.0,1.0,1.0,16.0,0.31742026436404236
10.0,1.0,1.0,18.0,0.31742026436404236
10.0,1.0,1.0,20.0,0.31742026436404236
10.0,2.0,1.0,2.0,0.09887409936407143
10.0,2.0,1.0,4.0,0.08516447092997159
10.0,2.0,1.0,6.0,0.08516170753087349
10.0,2.0,1.0,8.0,0.08516170812423507
10.0,2.0,1.0,10.0,0.0851617081073146
10.0,2.0,1.0,12.0,0.08516170810733537
10.0,2.0,1.0,14.0,0.08516170810733548
10.0,2.0,1.0,16.0,0.08516170810733537
10.0,2.0,1.0,18.0,0.08516170810733537
10.0,2.0,1.0,20.0,0.08516170810733537
10.0,3.0,1.0,2.0,0.03926555146785993
10.0,3.0,1.0,4.0,0.0038157659464632676
10.0,3.0,1.0,6.0,0.003766518577342004
10.0,3.0,1.0,8.0,0.003766514148966338
10.0,3.0,1.0,10.0,0.003766514365749929
10.0,3.0,1.0,12.0,0.0037665143564298287
10.0,3.0,1.0,14.0,0.003766514356446926
10.0,3.0,1.0,16.0,0.003766514356446926
10.0,3.0,1.0,18.0,0.003766514356446926
10.0,3.0,1.0,20.0,0.003766514356446926
10.0,4.0,1.0,2.0,0.020296781968048405
10.0,4.0,1.0,4.0,3.158498336508497e-05
10.0,4.0,1.0,6.0,1.1952608014453858e-08
10.0,4.0,1.0,8.0,4.553912802407467e-12
10.0,4.0,1.0,10.0,5.077938070030541e-12
10.0,4.0,1.0,12.0,5.052513962766625e-12
10.0,4.0,1.0,14.0,5.052513962766625e-12
10.0,4.0,1.0,16.0,5.0526249850690874e-12
10.0,4.0,1.0,18.0,5.0526249850690874e-12
10.0,4.0,1.0,20.0,5.0526249850690874e-12
10.0,5.0,1.0,2.0,0.00999596669343994
10.0,5.0,1.0,4.0,3.485755462140361e-05
10.0,5.0,1.0,6.0,5.510689260468382e-08
10.0,5.0,1.0,8.0,1.2814083127921094e-11
10.0,5.0,1.0,10.0,1.0722533971829762e-12
10.0,5.0,1.0,12.0,1.0695888619238758e-12
10.0,5.0,1.0,14.0,1.0695888619238758e-12
10.0,5.0,1.0,16.0,1.0696998842263383e-12
10.0,5.0,1.0,18.0,1.0693668173189508e-12
10.0,5.0,1.0,20.0,1.0693668173189508e-12
10.0,6.0,1.0,2.0,0.012715831099053387
10.0,6.0,1.0,4.0,6.157687622176944e-05
10.0,6.0,1.0,6.0,1.5021602828291236e-07
10.0,6.0,1.0,8.0,6.791134321559866e-11
10.0,6.0,1.0,10.0,5.924150059399835e-13
10.0,6.0,1.0,12.0,5.900835375882707e-13
10.0,6.0,1.0,14.0,5.900835375882707e-13
10.0,6.0,1.0,16.0,5.900835375882707e-13
10.0,6.0,1.0,18.0,5.900835375882707e-13
10.0,6.0,1.0,20.0,5.900835375882707e-13
10.0,7.0,1.0,2.0,0.012633326120715438
10.0,7.0,1.0,4.0,0.00018358350433733683
10.0,7.0,1.0,6.0,4.6285028221237923e-07
10.0,7.0,1.0,8.0,4.52932136241202e-10
10.0,7.0,1.0,10.0,6.503686478254167e-13
10.0,7.0,1.0,12.0,1.900701818158268e-13
10.0,7.0,1.0,14.0,1.9062529332813938e-13
10.0,7.0,1.0,16.0,1.9062529332813938e-13
10.0,7.0,1.0,18.0,1.9040324872321435e-13
10.0,7.0,1.0,20.0,1.9062529332813938e-13
10.0,8.0,1.0,2.0,0.01110325457824557
10.0,8.0,1.0,4.0,0.0004719094507074084
10.0,8.0,1.0,6.0,1.586960455712827e-06
10.0,8.0,1.0,8.0,2.3331446774577103e-09
10.0,8.0,1.0,10.0,1.4420686866856158e-12
10.0,8.0,1.0,12.0,2.1671553440683056e-13
10.0,8.0,1.0,14.0,2.1904700275854339e-13
10.0,8.0,1.0,16.0,2.1904700275854339e-13
10.0,8.0,1.0,18.0,2.191580250610059e-13
10.0,8.0,1.0,20.0,2.1904700275854339e-13
10.0,9.0,1.0,2.0,0.018896350216565216
10.0,9.0,1.0,4.0,0.00044552105744133375
10.0,9.0,1.0,6.0,4.086818930049141e-06
10.0,9.0,1.0,8.0,7.585789996156223e-09
10.0,9.0,1.0,10.0,8.18611844977113e-12
10.0,9.0,1.0,12.0,4.481970350411757e-13
10.0,9.0,1.0,14.0,4.597433544972773e-13
10.0,9.0,1.0,16.0,4.597433544972773e-13
10.0,9.0,1.0,18.0,4.597433544972773e-13
10.0,9.0,1.0,20.0,4.597433544972773e-13
10.0,10.0,1.0,2.0,0.022343160690588393
10.0,10.0,1.0,4.0,0.0008908762427652928
10.0,10.0,1.0,6.0,7.4427342717786615e-06
10.0,10.0,1.0,8.0,2.935593257369362e-08
10.0,10.0,1.0,10.0,3.549271987424163e-11
10.0,10.0,1.0,12.0,1.7197354651443675e-13
10.0,10.0,1.0,14.0,1.59539048638635e-13
10.0,10.0,1.0,16.0,1.5898393712632242e-13
10.0,10.0,1.0,18.0,1.5898393712632242e-13
10.0,10.0,1.0,20.0,1.5898393712632242e-13
