num_of_intervals,total_time,drift_parameter,taylor_truncate_len,init_seed,target_state_seed,final_cost
1.0,1.0,1.0,20.0,0.0,0.0,-0.41131908943574236
1.0,1.0,1.0,20.0,1.0,0.0,-0.41131908960002145
1.0,1.0,1.0,20.0,2.0,0.0,-0.4113190895999968
1.0,1.0,1.0,20.0,3.0,0.0,-0.411319089600019
1.0,1.0,1.0,20.0,4.0,0.0,-0.18946947206834344
1.0,1.0,1.0,20.0,5.0,0.0,-0.18946947206834344
1.0,1.0,1.0,20.0,6.0,0.0,-0.41131908960001135
1.0,1.0,1.0,20.0,7.0,0.0,-0.41131908960002145
1.0,1.0,1.0,20.0,8.0,0.0,-0.41131908960001934
1.0,1.0,1.0,20.0,9.0,0.0,-0.18946947206834344
1.0,1.0,1.0,20.0,0.0,1.0,-0.927327232845584
1.0,1.0,1.0,20.0,1.0,1.0,-0.8936895476137404
1.0,1.0,1.0,20.0,2.0,1.0,-0.8936895476137404
1.0,1.0,1.0,20.0,3.0,1.0,-0.8936895476137404
1.0,1.0,1.0,20.0,4.0,1.0,-0.9273272328467405
1.0,1.0,1.0,20.0,5.0,1.0,-0.9273272328467362
1.0,1.0,1.0,20.0,6.0,1.0,-0.9273272328300436
1.0,1.0,1.0,20.0,7.0,1.0,-0.927327232807285
1.0,1.0,1.0,20.0,8.0,1.0,-0.8936895476137404
1.0,1.0,1.0,20.0,9.0,1.0,-0.9273272328467418
1.0,1.0,1.0,20.0,0.0,2.0,-0.7690090678054542
1.0,1.0,1.0,20.0,1.0,2.0,-0.7690090678054989
1.0,1.0,1.0,20.0,2.0,2.0,-0.7690090678007373
1.0,1.0,1.0,20.0,3.0,2.0,-0.7690090678054972
1.0,1.0,1.0,20.0,4.0,2.0,-0.7006067759665917
1.0,1.0,1.0,20.0,5.0,2.0,-0.7006067759665917
1.0,1.0,1.0,20.0,6.0,2.0,-0.7690090678008388
1.0,1.0,1.0,20.0,7.0,2.0,-0.7690090678054997
1.0,1.0,1.0,20.0,8.0,2.0,-0.7690090678053589
1.0,1.0,1.0,20.0,9.0,2.0,-0.7006067759665917
1.0,1.0,1.0,20.0,0.0,3.0,-0.9250378392925255
1.0,1.0,1.0,20.0,1.0,3.0,-0.925037839293098
1.0,1.0,1.0,20.0,2.0,3.0,-0.9250378392931046
1.0,1.0,1.0,20.0,3.0,3.0,-0.9250378392931043
1.0,1.0,1.0,20.0,4.0,3.0,-0.48650815815310616
1.0,1.0,1.0,20.0,5.0,3.0,-0.48650815815310616
1.0,1.0,1.0,20.0,6.0,3.0,-0.9250378392931041
1.0,1.0,1.0,20.0,7.0,3.0,-0.9250378392852838
1.0,1.0,1.0,20.0,8.0,3.0,-0.9250378392888231
1.0,1.0,1.0,20.0,9.0,3.0,-0.48650815815310616
1.0,1.0,1.0,20.0,0.0,4.0,-0.6469450469023633
1.0,1.0,1.0,20.0,1.0,4.0,-0.6469450469023633
1.0,1.0,1.0,20.0,2.0,4.0,-0.6566511395084242
1.0,1.0,1.0,20.0,3.0,4.0,-0.6566511395101273
1.0,1.0,1.0,20.0,4.0,4.0,-0.6469450469023633
1.0,1.0,1.0,20.0,5.0,4.0,-0.6469450469023633
1.0,1.0,1.0,20.0,6.0,4.0,-0.6469450469023633
1.0,1.0,1.0,20.0,7.0,4.0,-0.6469450469023633
1.0,1.0,1.0,20.0,8.0,4.0,-0.6566511395084242
