num_of_intervals,total_time,drift_parameter,taylor_truncate_len,avg_infidelity
1.0,1.0,1.0,20.0,0.3179270955420421
1.0,2.0,1.0,20.0,0.22099910396729927
1.0,3.0,1.0,20.0,0.4145121324302574
1.0,4.0,1.0,20.0,0.31695750473933504
1.0,5.0,1.0,20.0,0.45153926536979405
1.0,6.0,1.0,20.0,0.5137674018822742
1.0,7.0,1.0,20.0,0.23482848088856345
1.0,8.0,1.0,20.0,0.34848525574140976
1.0,9.0,1.0,20.0,0.37432404268163155
1.0,10.0,1.0,20.0,0.34179856588632285
2.0,1.0,1.0,20.0,0.306336125808103
2.0,2.0,1.0,20.0,0.11459159013277787
2.0,3.0,1.0,20.0,0.14012997460803722
2.0,4.0,1.0,20.0,0.07151964004574685
2.0,5.0,1.0,20.0,0.13112389215024045
2.0,6.0,1.0,20.0,0.24427387767686537
2.0,7.0,1.0,20.0,0.05452096889506064
2.0,8.0,1.0,20.0,0.056315005194182755
2.0,9.0,1.0,20.0,0.13151588082070143
2.0,10.0,1.0,20.0,0.24765795701003968
3.0,1.0,1.0,20.0,0.3023110459891223
3.0,2.0,1.0,20.0,0.0670351849776889
3.0,3.0,1.0,20.0,0.02100031999146701
3.0,4.0,1.0,20.0,0.0036415535463675264
3.0,5.0,1.0,20.0,0.008733164431677265
3.0,6.0,1.0,20.0,0.004407491898778426
3.0,7.0,1.0,20.0,0.005046012828071822
3.0,8.0,1.0,20.0,0.17154533953489914
3.0,9.0,1.0,20.0,0.11147273918691547
3.0,10.0,1.0,20.0,0.0034111329182126005
4.0,1.0,1.0,20.0,0.3024857752296686
4.0,2.0,1.0,20.0,0.06207916310190831
4.0,3.0,1.0,20.0,0.016574084802806532
4.0,4.0,1.0,20.0,0.0014278063182249223
4.0,5.0,1.0,20.0,3.737489556154827e-05
4.0,6.0,1.0,20.0,2.326139281194628e-12
4.0,7.0,1.0,20.0,1.7903456495105274e-12
4.0,8.0,1.0,20.0,1.0646039605433089e-11
4.0,9.0,1.0,20.0,6.097011784333972e-12
4.0,10.0,1.0,20.0,0.0020790479120531558
5.0,1.0,1.0,20.0,0.31366652852167365
5.0,2.0,1.0,20.0,0.0622985520015209
5.0,3.0,1.0,20.0,0.0032926154551556897
5.0,4.0,1.0,20.0,9.808820422563258e-13
5.0,5.0,1.0,20.0,1.929123527588672e-12
5.0,6.0,1.0,20.0,1.163735774412089e-12
5.0,7.0,1.0,20.0,3.2651659154225854e-13
5.0,8.0,1.0,20.0,1.2734258092450546e-13
5.0,9.0,1.0,20.0,8.588685318500211e-13
5.0,10.0,1.0,20.0,6.428191312579656e-14
6.0,1.0,1.0,20.0,0.3109523789069839
6.0,2.0,1.0,20.0,0.07693559391796789
6.0,3.0,1.0,20.0,0.0031099295102523516
6.0,4.0,1.0,20.0,9.06441588455209e-12
6.0,5.0,1.0,20.0,1.0029754804463664e-12
6.0,6.0,1.0,20.0,7.867040352493859e-13
6.0,7.0,1.0,20.0,4.553024623987767e-13
6.0,8.0,1.0,20.0,6.10178574333986e-13
6.0,9.0,1.0,20.0,1.4066525722000733e-13
6.0,10.0,1.0,20.0,2.0161650127192843e-13
7.0,1.0,1.0,20.0,0.3101701465781307
7.0,2.0,1.0,20.0,0.07385343869305705
7.0,3.0,1.0,20.0,0.004391473889269859
7.0,4.0,1.0,20.0,2.0369261832797747e-12
7.0,5.0,1.0,20.0,7.176481631177012e-13
7.0,6.0,1.0,20.0,1.0025313912365164e-12
7.0,7.0,1.0,20.0,2.348121697082206e-13
7.0,8.0,1.0,20.0,4.5297099404706387e-13
7.0,9.0,1.0,20.0,1.4066525722000733e-13
7.0,10.0,1.0,20.0,2.8477220581635265e-13
8.0,1.0,1.0,20.0,0.3080707684027819
8.0,2.0,1.0,20.0,0.07892430192797184
8.0,3.0,1.0,20.0,0.0019569063200716164
8.0,4.0,1.0,20.0,3.376632307094951e-12
8.0,5.0,1.0,20.0,7.783773625646973e-13
8.0,6.0,1.0,20.0,7.05546732149287e-13
8.0,7.0,1.0,20.0,2.128297538206425e-13
8.0,8.0,1.0,20.0,3.105293799876563e-13
8.0,9.0,1.0,20.0,2.2326585025211898e-13
8.0,10.0,1.0,20.0,1.4210854715202004e-13
9.0,1.0,1.0,20.0,0.3071500745064131
9.0,2.0,1.0,20.0,0.07484712586341669
9.0,3.0,1.0,20.0,0.002955860320015047
9.0,4.0,1.0,20.0,7.826295167490116e-12
9.0,5.0,1.0,20.0,3.4938718584953676e-13
9.0,6.0,1.0,20.0,4.2077452633293433e-13
9.0,7.0,1.0,20.0,7.304157279008905e-13
9.0,8.0,1.0,20.0,3.2007729799943263e-13
9.0,9.0,1.0,20.0,1.438849039914203e-13
9.0,10.0,1.0,20.0,4.1522341120980855e-14
10.0,1.0,1.0,20.0,0.31742026436404236
10.0,2.0,1.0,20.0,0.08516170810733537
10.0,3.0,1.0,20.0,0.003766514356446926
10.0,4.0,1.0,20.0,5.0526249850690874e-12
10.0,5.0,1.0,20.0,1.0693668173189508e-12
10.0,6.0,1.0,20.0,5.900835375882707e-13
10.0,7.0,1.0,20.0,1.9062529332813938e-13
10.0,8.0,1.0,20.0,2.1904700275854339e-13
10.0,9.0,1.0,20.0,4.597433544972773e-13
10.0,10.0,1.0,20.0,1.5898393712632242e-13
