num_of_intervals,total_time,drift_parameter,taylor_truncate_len,init_seed,target_state_seed,final_cost
10.0,1.0,1.0,2.0,0.0,0.0,-0.18082261364003854
10.0,1.0,1.0,2.0,1.0,0.0,-0.17463821953201752
10.0,1.0,1.0,2.0,2.0,0.0,-0.19393830906833615
10.0,1.0,1.0,2.0,3.0,0.0,-0.19366632104383583
10.0,1.0,1.0,2.0,4.0,0.0,-0.223942450790268
10.0,1.0,1.0,2.0,5.0,0.0,-0.22821147796516666
10.0,1.0,1.0,2.0,6.0,0.0,-0.19160330184299695
10.0,1.0,1.0,2.0,7.0,0.0,-0.21866414333927187
10.0,1.0,1.0,2.0,8.0,0.0,-0.17272001310255441
10.0,1.0,1.0,2.0,9.0,0.0,-0.22924606466889294
10.0,1.0,1.0,2.0,0.0,1.0,-0.5992012121986772
10.0,1.0,1.0,2.0,1.0,1.0,-0.39980247324248686
10.0,1.0,1.0,2.0,2.0,1.0,-0.6008490906368554
10.0,1.0,1.0,2.0,3.0,1.0,-0.6008415103795917
10.0,1.0,1.0,2.0,4.0,1.0,-0.4778427396413435
10.0,1.0,1.0,2.0,5.0,1.0,-0.5979844747509447
10.0,1.0,1.0,2.0,6.0,1.0,-0.5238435902271618
10.0,1.0,1.0,2.0,7.0,1.0,-0.536575427476715
10.0,1.0,1.0,2.0,8.0,1.0,-0.5366638981557442
10.0,1.0,1.0,2.0,9.0,1.0,-0.5432862391511424
10.0,1.0,1.0,2.0,0.0,2.0,-0.44301184477029226
10.0,1.0,1.0,2.0,1.0,2.0,-0.4195331061815804
10.0,1.0,1.0,2.0,2.0,2.0,-0.41102733798863744
10.0,1.0,1.0,2.0,3.0,2.0,-0.4162217000213142
10.0,1.0,1.0,2.0,4.0,2.0,-0.4291671968978297
10.0,1.0,1.0,2.0,5.0,2.0,-0.4184597784142445
10.0,1.0,1.0,2.0,6.0,2.0,-0.4171757622089896
10.0,1.0,1.0,2.0,7.0,2.0,-0.4327241062363403
10.0,1.0,1.0,2.0,8.0,2.0,-0.43575431557031863
10.0,1.0,1.0,2.0,9.0,2.0,-0.43533479307608947
10.0,1.0,1.0,2.0,0.0,3.0,-0.7972888536723891
10.0,1.0,1.0,2.0,1.0,3.0,-0.8384693090364721
10.0,1.0,1.0,2.0,2.0,3.0,-0.8339808938418192
10.0,1.0,1.0,2.0,3.0,3.0,-0.8264961393770927
10.0,1.0,1.0,2.0,4.0,3.0,-0.8177346890094033
10.0,1.0,1.0,2.0,5.0,3.0,-0.8206477460336264
10.0,1.0,1.0,2.0,6.0,3.0,-0.8318814101219203
10.0,1.0,1.0,2.0,7.0,3.0,-0.8076918475351748
10.0,1.0,1.0,2.0,8.0,3.0,-0.8395977081677869
10.0,1.0,1.0,2.0,9.0,3.0,-0.8166799936910348
10.0,1.0,1.0,2.0,0.0,4.0,-0.5255473032063098
10.0,1.0,1.0,2.0,1.0,4.0,-0.5075831598761416
10.0,1.0,1.0,2.0,2.0,4.0,-0.550438782691338
10.0,1.0,1.0,2.0,3.0,4.0,-0.5503235566833432
10.0,1.0,1.0,2.0,4.0,4.0,-0.5168570197786213
10.0,1.0,1.0,2.0,5.0,4.0,-0.5230013137141619
10.0,1.0,1.0,2.0,6.0,4.0,-0.5550278591278015
10.0,1.0,1.0,2.0,7.0,4.0,-0.5263806396014825
10.0,1.0,1.0,2.0,8.0,4.0,-0.4979251941869333
10.0,1.0,1.0,2.0,9.0,4.0,-0.5147954136042571
10.0,1.0,1.0,2.0,0.0,5.0,-0.7781085657922984
10.0,1.0,1.0,2.0,1.0,5.0,-0.7917704521285259
10.0,1.0,1.0,2.0,2.0,5.0,-0.770355372010029
10.0,1.0,1.0,2.0,3.0,5.0,-0.7871892113967599
10.0,1.0,1.0,2.0,4.0,5.0,-0.7869390915647725
10.0,1.0,1.0,2.0,5.0,5.0,-0.7874657123489854
10.0,1.0,1.0,2.0,6.0,5.0,-0.7889992963700855
10.0,1.0,1.0,2.0,7.0,5.0,-0.7876656255402585
10.0,1.0,1.0,2.0,8.0,5.0,-0.7765075097139512
10.0,1.0,1.0,2.0,9.0,5.0,-0.7912875316088555
10.0,1.0,1.0,2.0,0.0,6.0,-0.3236331772232991
10.0,1.0,1.0,2.0,1.0,6.0,-0.343330589215889
10.0,1.0,1.0,2.0,2.0,6.0,-0.3268329216316446
10.0,1.0,1.0,2.0,3.0,6.0,-0.36633545985350296
10.0,1.0,1.0,2.0,4.0,6.0,-0.2792942020631901
10.0,1.0,1.0,2.0,5.0,6.0,-0.3239606001319559
10.0,1.0,1.0,2.0,6.0,6.0,-0.31588667093321776
10.0,1.0,1.0,2.0,7.0,6.0,-0.34303740244910513
10.0,1.0,1.0,2.0,8.0,6.0,-0.2824728577550606
10.0,1.0,1.0,2.0,9.0,6.0,-0.3240148660882235
10.0,1.0,1.0,2.0,0.0,7.0,-0.3193254853838848
10.0,1.0,1.0,2.0,1.0,7.0,-0.286796276595455
10.0,1.0,1.0,2.0,2.0,7.0,-0.26957415364476994
10.0,1.0,1.0,2.0,3.0,7.0,-0.28705978056677584
10.0,1.0,1.0,2.0,4.0,7.0,-0.26986276974654894
10.0,1.0,1.0,2.0,5.0,7.0,-0.1924193184031564
10.0,1.0,1.0,2.0,6.0,7.0,-0.2865801141584327
10.0,1.0,1.0,2.0,7.0,7.0,-0.2646114679634875
10.0,1.0,1.0,2.0,8.0,7.0,-0.22164969607016205
10.0,1.0,1.0,2.0,9.0,7.0,-0.27724806261276985
10.0,1.0,1.0,2.0,0.0,8.0,-0.8270322033948375
10.0,1.0,1.0,2.0,1.0,8.0,-0.7455903106261264
10.0,1.0,1.0,2.0,2.0,8.0,-0.7767090153687446
10.0,1.0,1.0,2.0,3.0,8.0,-0.7539918351403182
10.0,1.0,1.0,2.0,4.0,8.0,-0.8258759073025908
10.0,1.0,1.0,2.0,5.0,8.0,-0.7487562905382859
10.0,1.0,1.0,2.0,6.0,8.0,-0.728837226769535
10.0,1.0,1.0,2.0,7.0,8.0,-0.7908149475059109
10.0,1.0,1.0,2.0,8.0,8.0,-0.7649286205271293
10.0,1.0,1.0,2.0,9.0,8.0,-0.740042291118973
10.0,1.0,1.0,2.0,0.0,9.0,-0.5044395034705058
10.0,1.0,1.0,2.0,1.0,9.0,-0.5294323521344426
10.0,1.0,1.0,2.0,2.0,9.0,-0.5498601182008955
10.0,1.0,1.0,2.0,3.0,9.0,-0.5466410465209777
10.0,1.0,1.0,2.0,4.0,9.0,-0.5087457264801735
10.0,1.0,1.0,2.0,5.0,9.0,-0.5371002825026164
10.0,1.0,1.0,2.0,6.0,9.0,-0.5042139141003641
10.0,1.0,1.0,2.0,7.0,9.0,-0.5014133517531505
10.0,1.0,1.0,2.0,8.0,9.0,-0.5281038839675363
10.0,1.0,1.0,2.0,9.0,9.0,-0.472920108058336
10.0,1.0,1.0,4.0,0.0,0.0,-0.18292755071707925
10.0,1.0,1.0,4.0,1.0,0.0,-0.17737400835235956
10.0,1.0,1.0,4.0,2.0,0.0,-0.1973003560859693
10.0,1.0,1.0,4.0,3.0,0.0,-0.19730055120662585
10.0,1.0,1.0,4.0,4.0,0.0,-0.22608309267626367
10.0,1.0,1.0,4.0,5.0,0.0,-0.24896079307082844
10.0,1.0,1.0,4.0,6.0,0.0,-0.19483509568411553
10.0,1.0,1.0,4.0,7.0,0.0,-0.22105311400895297
10.0,1.0,1.0,4.0,8.0,0.0,-0.15460972477839713
10.0,1.0,1.0,4.0,9.0,0.0,-0.2308402793860876
10.0,1.0,1.0,4.0,0.0,1.0,-0.6056234869910926
10.0,1.0,1.0,4.0,1.0,1.0,-0.40167288170415966
10.0,1.0,1.0,4.0,2.0,1.0,-0.6056235390974792
10.0,1.0,1.0,4.0,3.0,1.0,-0.6056234918078932
10.0,1.0,1.0,4.0,4.0,1.0,-0.479899024628115
10.0,1.0,1.0,4.0,5.0,1.0,-0.6056234909632339
10.0,1.0,1.0,4.0,6.0,1.0,-0.5287071848927335
10.0,1.0,1.0,4.0,7.0,1.0,-0.5416474266831028
10.0,1.0,1.0,4.0,8.0,1.0,-0.5416474144034338
10.0,1.0,1.0,4.0,9.0,1.0,-0.475733257287479
10.0,1.0,1.0,4.0,0.0,2.0,-0.4474291113644889
10.0,1.0,1.0,4.0,1.0,2.0,-0.42964082978059337
10.0,1.0,1.0,4.0,2.0,2.0,-0.41263165109589506
10.0,1.0,1.0,4.0,3.0,2.0,-0.4238011300160962
10.0,1.0,1.0,4.0,4.0,2.0,-0.43624150337858536
10.0,1.0,1.0,4.0,5.0,2.0,-0.42466225475278013
10.0,1.0,1.0,4.0,6.0,2.0,-0.4276526272788715
10.0,1.0,1.0,4.0,7.0,2.0,-0.453980204755323
10.0,1.0,1.0,4.0,8.0,2.0,-0.44399052863964894
10.0,1.0,1.0,4.0,9.0,2.0,-0.4439906083515457
10.0,1.0,1.0,4.0,0.0,3.0,-0.8019720743038112
10.0,1.0,1.0,4.0,1.0,3.0,-0.8452232715641611
10.0,1.0,1.0,4.0,2.0,3.0,-0.841754351800592
10.0,1.0,1.0,4.0,3.0,3.0,-0.8305466131828089
10.0,1.0,1.0,4.0,4.0,3.0,-0.8241245978846273
10.0,1.0,1.0,4.0,5.0,3.0,-0.8306288838834139
10.0,1.0,1.0,4.0,6.0,3.0,-0.8484723596687268
10.0,1.0,1.0,4.0,7.0,3.0,-0.8142520705805554
10.0,1.0,1.0,4.0,8.0,3.0,-0.8457611700233182
10.0,1.0,1.0,4.0,9.0,3.0,-0.8203308781177906
10.0,1.0,1.0,4.0,0.0,4.0,-0.5271927964959124
10.0,1.0,1.0,4.0,1.0,4.0,-0.527061095110785
10.0,1.0,1.0,4.0,2.0,4.0,-0.552062139880621
10.0,1.0,1.0,4.0,3.0,4.0,-0.5498166051739185
10.0,1.0,1.0,4.0,4.0,4.0,-0.5439364752506064
10.0,1.0,1.0,4.0,5.0,4.0,-0.5525585853616424
10.0,1.0,1.0,4.0,6.0,4.0,-0.5389729610307902
10.0,1.0,1.0,4.0,7.0,4.0,-0.5293074950704619
10.0,1.0,1.0,4.0,8.0,4.0,-0.5298628022830888
10.0,1.0,1.0,4.0,9.0,4.0,-0.5043535164087701
