num_of_intervals,total_time,drift_parameter,taylor_truncate_len,avg_infidelity
10.0,1.0,1.0,2.0,0.44779437136667244
10.0,1.0,1.0,4.0,0.4425781987089611
10.0,1.0,1.0,6.0,0.4425779334969391
10.0,1.0,1.0,8.0,0.44257793372731036
10.0,1.0,1.0,10.0,0.4425779337271114
10.0,1.0,1.0,12.0,0.44257793372711174
10.0,1.0,1.0,14.0,0.44257793372711185
10.0,1.0,1.0,16.0,0.44257793372711174
10.0,1.0,1.0,18.0,0.44257793372711174
10.0,1.0,1.0,20.0,0.44257793372711174
10.0,2.0,1.0,2.0,0.24550319458109493
10.0,2.0,1.0,4.0,0.17970817841326547
10.0,2.0,1.0,6.0,0.17969846009773194
10.0,2.0,1.0,8.0,0.17969845336189283
10.0,2.0,1.0,10.0,0.17969845383243221
10.0,2.0,1.0,12.0,0.17969845383175864
10.0,2.0,1.0,14.0,0.17969845383176009
10.0,2.0,1.0,16.0,0.17969845383176009
10.0,2.0,1.0,18.0,0.17969845383176009
10.0,2.0,1.0,20.0,0.17969845383176009
10.0,3.0,1.0,2.0,0.11349588711684666
10.0,3.0,1.0,4.0,0.01658455971457362
10.0,3.0,1.0,6.0,0.015385186883198898
10.0,3.0,1.0,8.0,0.015377987038881491
10.0,3.0,1.0,10.0,0.015377987140675176
10.0,3.0,1.0,12.0,0.015377986611313732
10.0,3.0,1.0,14.0,0.015377986603231086
10.0,3.0,1.0,16.0,0.015377986611328609
10.0,3.0,1.0,18.0,0.015377986611328609
10.0,3.0,1.0,20.0,0.015377986611328609
10.0,4.0,1.0,2.0,0.05512112248297618
10.0,4.0,1.0,4.0,0.0021560382319071314
10.0,4.0,1.0,6.0,2.2101544521979655e-05
10.0,4.0,1.0,8.0,3.6491873967037236e-09
10.0,4.0,1.0,10.0,1.675404259771085e-10
10.0,4.0,1.0,12.0,3.056488395714041e-11
10.0,4.0,1.0,14.0,2.6947999387516575e-11
10.0,4.0,1.0,16.0,2.6971869182546016e-11
10.0,4.0,1.0,18.0,2.6971092026428778e-11
10.0,4.0,1.0,20.0,2.6971314071033703e-11
10.0,5.0,1.0,2.0,0.06328291228462368
10.0,5.0,1.0,4.0,0.003463364095547483
10.0,5.0,1.0,6.0,1.2856693607177228e-05
10.0,5.0,1.0,8.0,2.2146537048683967e-08
10.0,5.0,1.0,10.0,2.8776425686771745e-11
10.0,5.0,1.0,12.0,1.0327405597365669e-11
10.0,5.0,1.0,14.0,1.0805023542559411e-11
10.0,5.0,1.0,16.0,1.0804690475652023e-11
10.0,5.0,1.0,18.0,1.0804468431047098e-11
10.0,5.0,1.0,20.0,1.0804468431047098e-11
10.0,6.0,1.0,2.0,0.07423204873135436
10.0,6.0,1.0,4.0,0.005309176108972635
10.0,6.0,1.0,6.0,4.491412298501807e-05
10.0,6.0,1.0,8.0,1.320352553957349e-07
10.0,6.0,1.0,10.0,9.558009939070189e-11
10.0,6.0,1.0,12.0,7.045253269666318e-12
10.0,6.0,1.0,14.0,6.511235994821618e-12
10.0,6.0,1.0,16.0,6.508016348050205e-12
10.0,6.0,1.0,18.0,6.508016348050205e-12
10.0,6.0,1.0,20.0,6.508016348050205e-12
10.0,7.0,1.0,2.0,0.09679978655791255
10.0,7.0,1.0,4.0,0.005210498657078455
10.0,7.0,1.0,6.0,7.576882725879308e-05
10.0,7.0,1.0,8.0,3.171829501269485e-07
10.0,7.0,1.0,10.0,4.382995077989449e-10
10.0,7.0,1.0,12.0,2.51687559682523e-12
10.0,7.0,1.0,14.0,1.5925039065223245e-12
10.0,7.0,1.0,16.0,1.5900614158681492e-12
10.0,7.0,1.0,18.0,1.5898393712632242e-12
10.0,7.0,1.0,20.0,1.5900614158681492e-12
10.0,8.0,1.0,2.0,0.10188923374364234
10.0,8.0,1.0,4.0,0.009327216149274897
10.0,8.0,1.0,6.0,0.00021288015550458006
10.0,8.0,1.0,8.0,2.4671261182884763e-06
10.0,8.0,1.0,10.0,9.804291822845812e-09
10.0,8.0,1.0,12.0,3.002131876428393e-11
10.0,8.0,1.0,14.0,2.282840583234247e-12
10.0,8.0,1.0,16.0,2.2059021276277235e-12
10.0,8.0,1.0,18.0,2.2037927038809357e-12
10.0,8.0,1.0,20.0,2.2042367930907858e-12
10.0,9.0,1.0,2.0,0.130941664874882
10.0,9.0,1.0,4.0,0.009845307821909954
10.0,9.0,1.0,6.0,0.0011895665161331115
10.0,9.0,1.0,8.0,2.1018661959359974e-05
10.0,9.0,1.0,10.0,2.2458299608896226e-07
10.0,9.0,1.0,12.0,7.772549270868012e-10
10.0,9.0,1.0,14.0,6.447287148603209e-12
10.0,9.0,1.0,16.0,1.5433210265314301e-12
10.0,9.0,1.0,18.0,1.5442092049511302e-12
10.0,9.0,1.0,20.0,1.5439871603462052e-12
10.0,10.0,1.0,2.0,0.1198969380915198
10.0,10.0,1.0,4.0,0.01199343108346329
10.0,10.0,1.0,6.0,0.004615864631235311
10.0,10.0,1.0,8.0,0.00013244395580680468
10.0,10.0,1.0,10.0,3.2470952285867938e-06
10.0,10.0,1.0,12.0,1.827847528890203e-08
10.0,10.0,1.0,14.0,6.181655187731394e-11
10.0,10.0,1.0,16.0,1.5537571229629066e-12
10.0,10.0,1.0,18.0,1.3287149158713873e-12
10.0,10.0,1.0,20.0,1.3293810496861624e-12
