num_of_intervals,total_time,drift_parameter,taylor_truncate_len,init_seed,target_state_seed,final_cost
1.0,1.0,1.0,20.0,0.0,0.0,-0.2716683601135604
1.0,1.0,1.0,20.0,1.0,0.0,-0.20972482932889805
1.0,1.0,1.0,20.0,2.0,0.0,-0.2097248293288411
1.0,1.0,1.0,20.0,3.0,0.0,-0.2097248293187896
1.0,1.0,1.0,20.0,4.0,0.0,-0.27166836006585077
1.0,1.0,1.0,20.0,5.0,0.0,-0.27166836011188167
1.0,1.0,1.0,20.0,6.0,0.0,-0.20972482932900666
1.0,1.0,1.0,20.0,7.0,0.0,-0.27166836006595285
1.0,1.0,1.0,20.0,8.0,0.0,-0.20972482932228254
1.0,1.0,1.0,20.0,9.0,0.0,-0.27166836011356016
1.0,1.0,1.0,20.0,0.0,1.0,-0.5948202000197454
1.0,1.0,1.0,20.0,1.0,1.0,-0.594820200048895
1.0,1.0,1.0,20.0,2.0,1.0,-0.5948202000488982
1.0,1.0,1.0,20.0,3.0,1.0,-0.07087056506227318
1.0,1.0,1.0,20.0,4.0,1.0,-0.038105360173056234
1.0,1.0,1.0,20.0,5.0,1.0,-0.5948202000480435
1.0,1.0,1.0,20.0,6.0,1.0,-0.5948202000073504
1.0,1.0,1.0,20.0,7.0,1.0,-0.594820200048898
1.0,1.0,1.0,20.0,8.0,1.0,-0.5948202000488979
1.0,1.0,1.0,20.0,9.0,1.0,-0.5948202000167613
1.0,1.0,1.0,20.0,0.0,2.0,-0.47347413811739125
1.0,1.0,1.0,20.0,1.0,2.0,-0.2877564593494276
1.0,1.0,1.0,20.0,2.0,2.0,-0.2877564593494293
1.0,1.0,1.0,20.0,3.0,2.0,-0.08179055663759169
1.0,1.0,1.0,20.0,4.0,2.0,-0.47347413815270367
1.0,1.0,1.0,20.0,5.0,2.0,-0.4734741381142221
1.0,1.0,1.0,20.0,6.0,2.0,-0.28775645934911087
1.0,1.0,1.0,20.0,7.0,2.0,-0.47347413815245126
1.0,1.0,1.0,20.0,8.0,2.0,-0.287756459346871
1.0,1.0,1.0,20.0,9.0,2.0,-0.4734741381526951
1.0,1.0,1.0,20.0,0.0,3.0,-0.12515746860981755
1.0,1.0,1.0,20.0,1.0,3.0,-0.12515746861165855
1.0,1.0,1.0,20.0,2.0,3.0,-0.7732528405589928
1.0,1.0,1.0,20.0,3.0,3.0,-0.7732528405739043
1.0,1.0,1.0,20.0,4.0,3.0,-0.7334318600458408
1.0,1.0,1.0,20.0,5.0,3.0,-0.7334318600458408
1.0,1.0,1.0,20.0,6.0,3.0,-0.12515746860559493
1.0,1.0,1.0,20.0,7.0,3.0,-0.7732528405739035
1.0,1.0,1.0,20.0,8.0,3.0,-0.7732528405739038
1.0,1.0,1.0,20.0,9.0,3.0,-0.7334318600458408
1.0,1.0,1.0,20.0,0.0,4.0,-0.5363550118349076
1.0,1.0,1.0,20.0,1.0,4.0,-0.5612091263936301
1.0,1.0,1.0,20.0,2.0,4.0,-0.5612091263623855
