num_of_intervals,total_time,drift_parameter,taylor_truncate_len,avg_infidelity
1.0,1.0,1.0,20.0,0.4442039576882284
1.0,2.0,1.0,20.0,0.35369921706857876
1.0,3.0,1.0,20.0,0.4257377438168558
1.0,4.0,1.0,20.0,0.4269730223786258
1.0,5.0,1.0,20.0,0.38568455507440313
1.0,6.0,1.0,20.0,0.4878464797083658
1.0,7.0,1.0,20.0,0.5184692902082726
1.0,8.0,1.0,20.0,0.4440202104590698
1.0,9.0,1.0,20.0,0.5662104560150331
1.0,10.0,1.0,20.0,0.49895216068338843
2.0,1.0,1.0,20.0,0.4292370687314244
2.0,2.0,1.0,20.0,0.21924253529031779
2.0,3.0,1.0,20.0,0.16863535705607224
2.0,4.0,1.0,20.0,0.16664351076192774
2.0,5.0,1.0,20.0,0.1670404813091404
2.0,6.0,1.0,20.0,0.20086418526337968
2.0,7.0,1.0,20.0,0.33815459715193896
2.0,8.0,1.0,20.0,0.3139589595560025
2.0,9.0,1.0,20.0,0.33966235547749446
2.0,10.0,1.0,20.0,0.4457873091042992
3.0,1.0,1.0,20.0,0.43154258334970996
3.0,2.0,1.0,20.0,0.20330562045968503
3.0,3.0,1.0,20.0,0.10551506114031228
3.0,4.0,1.0,20.0,0.05877160847688501
3.0,5.0,1.0,20.0,0.061842405258860866
3.0,6.0,1.0,20.0,0.0754743417269802
3.0,7.0,1.0,20.0,0.037001438687361166
3.0,8.0,1.0,20.0,0.0787141789879271
3.0,9.0,1.0,20.0,0.12877224178626057
3.0,10.0,1.0,20.0,0.23063038214782983
4.0,1.0,1.0,20.0,0.42951522099312966
4.0,2.0,1.0,20.0,0.17254597638293778
4.0,3.0,1.0,20.0,0.05360702513396409
4.0,4.0,1.0,20.0,0.029397421123042222
4.0,5.0,1.0,20.0,0.01539457420991075
4.0,6.0,1.0,20.0,0.014834948071077547
4.0,7.0,1.0,20.0,0.03191135610841067
4.0,8.0,1.0,20.0,0.013486533656915434
4.0,9.0,1.0,20.0,0.011278334863913941
4.0,10.0,1.0,20.0,0.022224827947550985
5.0,1.0,1.0,20.0,0.4309169112844541
5.0,2.0,1.0,20.0,0.18637835720212836
5.0,3.0,1.0,20.0,0.024658727744246933
5.0,4.0,1.0,20.0,0.002099182090696372
5.0,5.0,1.0,20.0,0.0026784386635574364
5.0,6.0,1.0,20.0,0.002160793291474006
5.0,7.0,1.0,20.0,0.00133457952769922
5.0,8.0,1.0,20.0,0.001693339477134792
5.0,9.0,1.0,20.0,0.004433752317046569
5.0,10.0,1.0,20.0,0.00218639552003308
6.0,1.0,1.0,20.0,0.4311021133734083
6.0,2.0,1.0,20.0,0.16410682744166183
6.0,3.0,1.0,20.0,0.015483391142494973
6.0,4.0,1.0,20.0,0.0024113619709206224
6.0,5.0,1.0,20.0,9.759915698293042e-05
6.0,6.0,1.0,20.0,3.644429202864785e-11
6.0,7.0,1.0,20.0,1.0066281141973832e-11
6.0,8.0,1.0,20.0,2.1094935043208807e-06
6.0,9.0,1.0,20.0,6.650902051319463e-12
6.0,10.0,1.0,20.0,9.966863271815285e-06
7.0,1.0,1.0,20.0,0.43116995006004977
7.0,2.0,1.0,20.0,0.16351111391975037
7.0,3.0,1.0,20.0,0.028059893450768314
7.0,4.0,1.0,20.0,7.841316485013294e-11
7.0,5.0,1.0,20.0,6.891376358453272e-12
7.0,6.0,1.0,20.0,1.6975310046518644e-12
7.0,7.0,1.0,20.0,4.598432745694936e-12
7.0,8.0,1.0,20.0,3.2309710462641306e-12
7.0,9.0,1.0,20.0,2.663314013773288e-12
7.0,10.0,1.0,20.0,2.855160552428515e-12
8.0,1.0,1.0,20.0,0.43337924440104847
8.0,2.0,1.0,20.0,0.1711891128376406
8.0,3.0,1.0,20.0,0.021683437848003306
8.0,4.0,1.0,20.0,4.043732015901469e-11
8.0,5.0,1.0,20.0,4.982347867610315e-12
8.0,6.0,1.0,20.0,3.904987444514063e-12
8.0,7.0,1.0,20.0,5.725420137991932e-12
8.0,8.0,1.0,20.0,1.7402745910999329e-12
8.0,9.0,1.0,20.0,2.7489122089718876e-12
8.0,10.0,1.0,20.0,1.7117418593670664e-12
9.0,1.0,1.0,20.0,0.4356915273470465
9.0,2.0,1.0,20.0,0.1748239517320066
9.0,3.0,1.0,20.0,0.0217980591605631
9.0,4.0,1.0,20.0,2.1862511800918583e-11
9.0,5.0,1.0,20.0,8.826384068072457e-12
9.0,6.0,1.0,20.0,2.5682789228653746e-12
9.0,7.0,1.0,20.0,1.6552315074136459e-12
9.0,8.0,1.0,20.0,1.2727596754302795e-12
9.0,9.0,1.0,20.0,2.2689627954264324e-12
9.0,10.0,1.0,20.0,1.1416423362220485e-12
10.0,1.0,1.0,20.0,0.44257793372711174
10.0,2.0,1.0,20.0,0.17969845383176009
10.0,3.0,1.0,20.0,0.015377986611328609
10.0,4.0,1.0,20.0,2.6971314071033703e-11
10.0,5.0,1.0,20.0,1.0804468431047098e-11
10.0,6.0,1.0,20.0,6.508016348050205e-12
10.0,7.0,1.0,20.0,1.5900614158681492e-12
10.0,8.0,1.0,20.0,2.2042367930907858e-12
10.0,9.0,1.0,20.0,1.5439871603462052e-12
10.0,10.0,1.0,20.0,1.3293810496861624e-12
